spec,lon,lat
SPEC,-70.062519,12.539481
SPEC,-66.091036,-11.01453
SPEC,-63.188293,-17.809058
SPEC,-63.228121,17.642611
SPEC,-68.2911,12.12087
SPEC,-40.3683,-20.5105
SPEC,-58.2125,-2.83806
SPEC,-54.06667,-2.01667
SPEC,-35.234545,-5.629908
SPEC,-55.51889,-1.90833
SPEC,-48.1333,-0.8
SPEC,-44.36667,-15.48333
SPEC,-56.774853,-17.36461
SPEC,-62.25,-9.133333
SPEC,-59.823204,-3.703617
SPEC,-56.398773,-16.539734
SPEC,-35.067055,-6.223367
SPEC,-59.850811,-3.066802
SPEC,-55,-10
SPEC,-72.898594,-7.602719
SPEC,-70.924087,-8.212747
SPEC,-59.001217,-3.22919
SPEC,-42.79671,-5.05427
SPEC,-56.957539,-19.493521
SPEC,-41.838604,-2.763439
SPEC,-38.395603,-12.864613
SPEC,-34.834058,-7.117866
SPEC,-87.946243,17.956264
SPEC,-87.53333,17.2
SPEC,-88.557738,17.30038
SPEC,-88.533217,17.769136
SPEC,-88.92753,16.098213
SPEC,-89.072868,17.107657
SPEC,-88.226311,16.981805
SPEC,-88.368697,16.520022
SPEC,-71.558359,4.962151
SPEC,-75.443167,10.521149
SPEC,-73.201957,3.969025
SPEC,-75.17619,9.69788
SPEC,-72.492139,7.896339
SPEC,-75.136098,3.441171
SPEC,-77.34506,8.639075
SPEC,-74.80545,4.300725
SPEC,-76.406403,8.270234
SPEC,-75.0911,8.67704
SPEC,-76.761131,3.794373
SPEC,-73.94,2.541111
SPEC,-70.133333,-4.033333
SPEC,-78.180278,2.9675
SPEC,-74.205351,6.801842
SPEC,-74.970833,7.390833
SPEC,-78.724167,1.533889
SPEC,-74.424496,9.240146
SPEC,-74.759186,7.838213
SPEC,-74.58287,5.97399
SPEC,-73.313828,4.570949
SPEC,-73.218118,10.417264
SPEC,-74.766701,4.782836
SPEC,-71.743134,6.178157
SPEC,-76.299665,3.901642
SPEC,-75.681639,9.708042
SPEC,-72.170736,12.211582
SPEC,-73.251944,9.944444
SPEC,-73.59819,8.280146
SPEC,-75.437142,1.478739
SPEC,-72.552778,5.174722
SPEC,-76.629849,1.082515
SPEC,-70.540556,4.178333
SPEC,-74.5,10
SPEC,-76.536963,3.331929
SPEC,-73.764042,11.256981
SPEC,-73.569564,6.669327
SPEC,-70.92639,5.184729
SPEC,-73.657532,4.10173
SPEC,-74.804675,11.005199
SPEC,-73.840283,7.228687
SPEC,-69.935907,4.203165
SPEC,-75.743581,10.172889
SPEC,-75.762542,6.502086
SPEC,-75.029004,9.187239
SPEC,-74.608305,8.420902
SPEC,-73.701133,3.651292
SPEC,-73.131563,7.096625
SPEC,-77.262844,3.833835
SPEC,-76.746143,7.855556
SPEC,-75.889148,8.755803
SPEC,-75.758255,5.872162
SPEC,-67.67123,6.289647
SPEC,-81.688995,12.599862
SPEC,-75.296851,2.939794
SPEC,-74.661353,5.452892
SPEC,-74.76342,2.12682
SPEC,-74.231187,11.16788
SPEC,-72.134458,2.891724
SPEC,-70.523583,6.620683
SPEC,-76.111786,9.26145
SPEC,-73.946336,6.313413
SPEC,-71.997502,5.728191
SPEC,-68.630807,5.558632
SPEC,-83.033242,9.98964
SPEC,-84.200225,9.937845
SPEC,-85.129923,10.453704
SPEC,-85.153122,9.672495
SPEC,-83.449997,8.966667
SPEC,-83.596245,9.846656
SPEC,-83.284951,8.400235
SPEC,-85.667095,9.938586
SPEC,-83.502102,10.541821
SPEC,-84.509754,10.362711
SPEC,-83.99817,10.425905
SPEC,-84.145363,9.39003
SPEC,-85.690766,10.555536
SPEC,-84.617831,9.75709
SPEC,-82.62037,9.623803
SPEC,-68.894502,12.084719
SPEC,-79.46089,-1.023061
SPEC,-80.299613,-0.655823
SPEC,-80.12085,-2.488201
SPEC,-79.366699,-0.55
SPEC,-79.618843,-2.128407
SPEC,-79.9767,-1.83361
SPEC,-79.762304,-3.243925
SPEC,-80.4214,-1.24333
SPEC,-79.752545,-1.427131
SPEC,-80.052396,0.070491
SPEC,-79.386899,-0.024567
SPEC,-79.937408,0.835864
SPEC,-80.752393,-1.825053
SPEC,-61.766667,12
SPEC,-53.83539,3.65959
SPEC,-52.57914,5.2905
SPEC,-54.37827,4.47051
SPEC,-51.67593,4.38754
SPEC,-53.38449,3.20895
SPEC,-53.75073,5.10568
SPEC,-52.3069,4.47714
SPEC,-52.66637,4.02426
SPEC,-52.30775,4.92936
SPEC,-53.93401,5.7373
SPEC,-53.39124,5.37828
SPEC,-53.02405,2.84808
SPEC,-52.57393,2.48703
SPEC,-52.12531,3.48248
SPEC,-54.28601,3.92901
SPEC,-54.10344,3.11668
SPEC,-52.57478,3.12009
SPEC,-53.02307,2.21517
SPEC,-54.28186,2.66452
SPEC,-53.043924,5.070786
SPEC,-61.55236,15.86918
SPEC,-61.26913,16.22857
SPEC,-90.18926,16.53923
SPEC,-90.488205,13.896744
SPEC,-89.8877,16.922083
SPEC,-59.307396,3.750726
SPEC,-58.684287,4.672585
SPEC,-59.768252,3.440439
SPEC,-84.0614,14.76
SPEC,-86.5,16.3833
SPEC,-88.15,15.4
SPEC,-84.2833,15.8
SPEC,-87.083333,13.333333
SPEC,-86.884968,16.119416
SPEC,-83.942137,17.405751
SPEC,-85.866782,16.460443
SPEC,-86.990231,14.000509
SPEC,-88.02018,14.939594
SPEC,-87.454121,15.736271
SPEC,-87.615838,14.38673
SPEC,-81.384853,19.307689
SPEC,-60.899361,14.000861
SPEC,-63.077561,18.09004
SPEC,-60.91137,14.59892
SPEC,-62.233333,16.75
SPEC,-92.525123,15.089081
SPEC,-93.202698,15.503813
SPEC,-96.019132,15.63831
SPEC,-96.537708,15.614015
SPEC,-93.635947,15.917902
SPEC,-97.106842,15.954213
SPEC,-92.357052,16.186587
SPEC,-93.991115,16.363303
SPEC,-94.463899,16.327963
SPEC,-90.966827,16.276153
SPEC,-98.998749,16.595065
SPEC,-92.899577,16.480667
SPEC,-95.075278,16.512692
SPEC,-99.612488,16.774003
SPEC,-93.506443,16.644132
SPEC,-90.915173,16.923655
SPEC,-100.116698,16.863048
SPEC,-93.129073,16.968897
SPEC,-100.637879,17.362999
SPEC,-94.67962,17.258424
SPEC,-95.140015,17.477448
SPEC,-91.926708,17.402959
SPEC,-93.064355,17.458907
SPEC,-101.524292,17.725539
SPEC,-92.404178,17.616043
SPEC,-91.406052,17.687788
SPEC,-96.947069,17.705628
SPEC,-92.92898,17.917847
SPEC,-94.919265,17.893946
SPEC,-91.958358,17.957316
SPEC,-102.056217,17.880486
SPEC,-96.2634,17.915732
SPEC,-88.984217,17.919925
SPEC,-102.64299,18.06817
SPEC,-91.018042,18.117471
SPEC,-94.284723,18.177133
SPEC,-100.706035,18.346101
SPEC,-101.737126,18.326311
SPEC,-103.324516,18.351338
SPEC,-92.259703,18.312556
SPEC,-93.291504,18.34514
SPEC,-88.204312,18.534139
SPEC,-92.758317,18.412959
SPEC,-87.289474,18.499435
SPEC,-95.093561,18.742698
SPEC,-95.690177,18.744249
SPEC,-99.227748,18.600347
SPEC,-103.877003,18.847867
SPEC,-91.169641,18.857051
SPEC,-96.299827,18.888085
SPEC,-101.677335,18.848297
SPEC,-95.908698,19.144577
SPEC,-104.287933,19.126989
SPEC,-104.79994,19.016642
SPEC,-96.683269,19.325604
SPEC,-103.735974,19.32315
SPEC,-105.032426,19.445125
SPEC,-90.780922,19.493941
SPEC,-96.395874,19.732574
SPEC,-105.367028,19.961635
SPEC,-86.889484,20.263042
SPEC,-96.940392,20.216004
SPEC,-87.421741,20.258715
SPEC,-97.467814,20.52356
SPEC,-105.589525,20.414012
SPEC,-87.15306,20.662262
SPEC,-88.322199,20.662109
SPEC,-89.649544,20.991241
SPEC,-105.447334,20.863941
SPEC,-86.906446,21.15676
SPEC,-97.396635,21.119237
SPEC,-105.332414,21.471632
SPEC,-104.821386,21.421663
SPEC,-97.437433,21.724849
SPEC,-105.040897,21.891963
SPEC,-105.867982,21.936556
SPEC,-98.945717,21.968752
SPEC,-105.432224,22.172544
SPEC,-97.949757,22.247954
SPEC,-105.782092,22.515646
SPEC,-105.772388,22.976663
SPEC,-106.444323,23.036622
SPEC,-106.289355,23.697789
SPEC,-96.728374,18.69094
SPEC,-91.644022,18.729143
SPEC,-90.52361,19.09306
SPEC,-85.826325,11.437155
SPEC,-87.050274,12.469341
SPEC,-86.160233,12.022636
SPEC,-85.050735,11.053382
SPEC,-83.052247,12.173178
SPEC,-83.712209,10.940752
SPEC,-84.339015,10.971907
SPEC,-79.908105,9.192116
SPEC,-79.105345,9.295626
SPEC,-79.70418,8.636034
SPEC,-80.25,8.716667
SPEC,-77.883333,8.08333
SPEC,-80.55044,8.233901
SPEC,-82.448105,8.384921
SPEC,-82.256307,9.351649
SPEC,-81.728351,7.626208
SPEC,-80.170058,7.765561
SPEC,-80.98222,8.081622
SPEC,-74.0167,-9.85
SPEC,-81.2692,-4.5758
SPEC,-75.158333,-10.154167
SPEC,-74.866667,-7.8
SPEC,-80.201389,-4.658333
SPEC,-73.7519,-10.7264
SPEC,-73.24201,-3.753565
SPEC,-80.499916,-3.815612
SPEC,-72.924454,-3.268769
SPEC,-73.836794,-4.65811
SPEC,-72.515478,-3.473687
SPEC,-80.6999,-4.905531
SPEC,-67.189204,17.936056
SPEC,-66.597292,18.450924
SPEC,-67.166366,18.481885
SPEC,-65.442807,18.151472
SPEC,-66.109871,18.468094
SPEC,-55.2,5.45
SPEC,-55.367464,4.4927
SPEC,-88.06667,13.31667
SPEC,-88.508658,13.524889
SPEC,-89.403878,14.362276
SPEC,-89.246955,13.670572
SPEC,-89.817285,13.532465
SPEC,-61.688901,10.693317
SPEC,-60.789166,11.199995
SPEC,-61.025139,10.398167
SPEC,-61.133333,13.35
SPEC,-61.361391,12.6331
SPEC,-71.150002,11.016667
SPEC,-64,11
SPEC,-69.845581,7.556368
SPEC,-64.18328,10.481028
SPEC,-66.5,10.0833
SPEC,-71.6167,10.6667
SPEC,-68.900002,7.816667
SPEC,-62.339,6.8819
SPEC,-66.73333,3.5
SPEC,-67.59639,10.246944
SPEC,-66.1667,11.8
SPEC,-63.00833,9.39167
SPEC,-69.916702,11.9576
SPEC,-67.1167,6.65
SPEC,-70.7333,9.48333
SPEC,-70.253609,11.202778
SPEC,-63.5664,8.16667
SPEC,-71.55,8.46667
SPEC,-62.294445,10.571111
SPEC,-65.9833,10.3167
SPEC,-67.582741,8.568412
SPEC,-69.288483,10.077784
SPEC,-66,8
SPEC,-68.268311,10.927961
SPEC,-68.085022,8.933913
SPEC,-68.361946,7.238333
SPEC,-69.322786,7.429981
SPEC,-62.567739,7.671003
SPEC,-68.328644,10.38571
SPEC,-66.838463,10.494407
SPEC,-64.4,18.5
SPEC,-64.743447,17.641296
SPEC,-64.855828,18.338178
SPEC,-66.672655,17.967501
SPEC,-66.110267,17.969926
SPEC,-72.261623,11.399389
SPEC,-72.903,11.49
SPEC,-73.877,9.995
SPEC,-72.842,10.895
SPEC,121.11,22.8
SPEC,120.3506,22.6523
SPEC,120.3662,23.4022
SPEC,-179.683,-16.74
SPEC,-80.584357,25.691184
SPEC,-80.066357,25.649843
SPEC,-81.379236,28.538336
SPEC,-77.05844,26.54154
SPEC,-81.385069,25.858244
SPEC,-81.117149,24.67442
SPEC,-82.646456,27.750951
SPEC,-80.318614,27.417284
SPEC,-79.274623,25.553434
SPEC,-81.604168,26.711994
SPEC,-82.16677,27.11256
SPEC,-82.7455,28.2137
SPEC,-80.618056,26.984167
SPEC,-80.106057,26.129836
SPEC,-81.887941,27.983259
SPEC,-80.417271,25.122386
SPEC,-80.068246,26.668416
SPEC,-81.796303,24.553422
SPEC,-81.78968,26.168868
SPEC,-82.191247,26.527655
SPEC,-77.939733,25.81614
SPEC,100.96929,12.86231
SPEC,102.07593,14.850052
SPEC,99.74,15.42
SPEC,99.862282,13.811757
SPEC,-61.6287075,-11.74356604
SPEC,-56.85211167,-1.370855
SPEC,-37.11184356,-8.587803121
SPEC,-38.01388612,-12.58213667
SPEC,-45.7705252,-1.41766063
SPEC,-57.06883013,-2.796489695
SPEC,-49.68431246,-3.8369751
SPEC,-35.96832583,-8.246927457
SPEC,-57.70724274,-3.405536591
SPEC,-61.96381196,-10.8745746
SPEC,-44.17894464,-2.542686357
SPEC,-40.7782191,-3.908852837
SPEC,-34.98435259,-8.059824508
SPEC,-37.53002644,-4.643076816
SPEC,-37.25542189,-6.579216091
SPEC,-43.42475403,-3.243133012
SPEC,-50.57599504,-13.21661651
SPEC,-48.50543959,-1.464775501
SPEC,-39.13899042,-3.347163055
SPEC,-54.7040355,-2.4491801
SPEC,-51.08435612,-0.010911897
SPEC,-38.34349267,-7.547271228
SPEC,-52.51511554,-0.656310386
SPEC,-50.119447,-15.999512
SPEC,-63.94437666,-8.80822751
SPEC,-60.36579348,-3.140046095
SPEC,-47.4433207,-7.0417739
SPEC,-35.2277312,-9.0279387
SPEC,-38.68656712,-4.036715023
SPEC,-36.1581898,-6.4939469
SPEC,-56.0904716,-15.6248489
SPEC,-35.71619339,-6.969821052
SPEC,-52.35732701,-14.66395719
SPEC,-56.87202077,-16.75625878
SPEC,-49.5189265,-11.8165893
SPEC,-39.22505848,-17.3340785
SPEC,-55.931335,-9.597507
SPEC,-57.54988111,-18.72750011
SPEC,-60.6758331,2.8235098
SPEC,-39.66326606,-3.037202568
SPEC,-57.43377686,-17.65449123
SPEC,-40.51209919,-2.815541792
SPEC,-64.849548,-3.06441
SPEC,-60.76915205,-2.807292773
SPEC,103.707526,1.317758
SPEC,124.199379,24.381022
SPEC,-158.002481,21.412041
SPEC,-156.322053,20.874463
